Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2014-05-07 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,020c9c12,"2150, 2251, 3650, 2151, 2250, 4600, 3550",COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2014-05-09 00:00:00,KC-130J,167923,Aircraft,,,,,3.2,,,,,,,,,,,,,GL312TR,,OTHER,1,,,,,,,,,,,,,,,,,,
2014-05-11 00:00:00,KC-130J,167926,Aircraft,2.9,1.4,1.5,,,,0.6,1.0,,,,,,,,,,GL312TX,3501,COPILOT,1,,,,,,,,,,,,,,,,,,2.9
2014-05-12 00:00:00,KC-130J,167923,Aircraft,2.4,1.2,1.2,,,,,,,,,1.0,,,,,,GL312U3,"4200, 2201, 2300",COPILOT,1,,,,,,,,,,,,,,,,,,2.4
2014-05-15 00:00:00,KC-130J,167926,Aircraft,2.5,1.3,1.2,,1.8,,,,,,,3.0,,,,,,GL312UK,"3704, 4701, 3705",COPILOT,1,,,,,,,,,,,,,,,,,,2.5
2014-05-17 00:00:00,KC-130J,167983,Aircraft,7.0,3.5,3.5,,,2.0,0.6,0.3,,,,2.0,,,,2.0,,GL312UX,3600,COPILOT,1,,,,,,,,,,,,,,,,,,7.0
2014-05-19 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,0.3,,,,,2.0,,,,1.0,,a0ea4303,6120,COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2014-05-20 00:00:00,KC-130J,166763,Aircraft,3.2,1.6,1.6,,,,,,,,,,,,,,,GL312VC,,COPILOT,1,,,,,,,,,,,,,,,,,,3.2
2014-05-21 00:00:00,KC-130J,166763,Aircraft,3.9,1.9,2.0,,,,0.3,,,,,1.0,,,,1.0,,GL312VJ,,COPILOT,1,,,,,,,,,,,,,,,,,,3.9
2014-05-21 00:00:00,KC-130J,167983,Aircraft,2.1,1.0,1.1,,,,0.3,2.1,,,,,1.0,,,1.0,,GL312VM,,COPILOT,1,,,,,,,,,,,,,,,,,,2.1
2014-05-22 00:00:00,KC-130J,167983,Aircraft,2.1,1.0,1.1,,,1.0,,,,,,,,,,,,GL312VR,,COPILOT,1,,,,,,,,,,,,,,,,,,2.1
2014-05-28 00:00:00,KC-130J,168074,Aircraft,0.3,0.1,0.2,,,,,,,,,,,,,,,GL312W8,,COPILOT,1,,,,,,,,,,,,,,,,,,0.3
2014-05-28 00:00:00,KC-130J,167982,Aircraft,0.5,0.2,0.3,,,0.2,,,,,,,,,,,,GL312WB,,COPILOT,1,,,,,,,,,,,,,,,,,,0.5
2014-06-06 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,0.5,,,,,,,,,,,f180e18a,6120,COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2014-06-13 00:00:00,KC-130J,167923,Aircraft,4.5,2.2,2.3,,,0.5,0.5,,,,,1.0,,1.0,,,,GL312XS,,COPILOT,1,,,,,,,,,,,,,,,,,,4.5
2014-06-17 00:00:00,KC-130J,167983,Aircraft,3.1,1.5,1.6,,,,0.3,,,,,,,,,,,GL312Y5,,COPILOT,1,,,,,,,,,,,,,,,,,,3.1
2014-06-17 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,646d35a6,,COPILOT,1,,,,,,,,,,,,,,,,,,2.0
